Date,Home,Away
11-04-2026,Arsenal,Bournemouth
11-04-2026,Burnley,Brighton
11-04-2026,Brentford,Everton
11-04-2026,Liverpool,Fulham
12-04-2026,Sunderland,Tottenham Hotspur
12-04-2026,Nottingham Forest,Aston Villa
12-04-2026,Crystal Palace,Newcastle United
12-04-2026,Chelsea,Manchester City
13-04-2026,Manchester Utd,Leeds United
18-04-2026,Brentford,Fulham
18-04-2026,Newcastle United,Bournemouth
18-04-2026,Leeds United,Wolves
18-04-2026,Tottenham Hotspur,Brighton
18-04-2026,Chelsea,Manchester Utd
19-04-2026,Everton,Liverpool
19-04-2026,Aston Villa,Sunderland
19-04-2026,Nottingham Forest,Burnley
19-04-2026,Manchester City,Arsenal
20-04-2026,Crystal Palace,West Ham United
21-04-2026,Brighton,Chelsea
22-04-2026,Burnley,Manchester City
22-04-2026,Bournemouth,Leeds United
24-04-2026,Sunderland,Nottingham Forest
25-04-2026,Fulham,Aston Villa
25-04-2026,Wolves,Tottenham Hotspur
25-04-2026,West Ham United,Everton
25-04-2026,Liverpool,Crystal Palace
25-04-2026,Arsenal,Newcastle United
27-04-2026,Manchester Utd,Brentford
01-05-2026,Leeds United,Burnley
02-05-2026,Aston Villa,Tottenham Hotspur
02-05-2026,Wolves,Sunderland
02-05-2026,Brentford,West Ham United
02-05-2026,Bournemouth,Crystal Palace
02-05-2026,Newcastle United,Brighton
02-05-2026,Arsenal,Fulham
03-05-2026,Manchester Utd,Liverpool
04-05-2026,Chelsea,Nottingham Forest
04-05-2026,Everton,Manchester City
09-05-2026,Liverpool,Chelsea
09-05-2026,Brighton,Wolves
09-05-2026,Burnley,Aston Villa
09-05-2026,Crystal Palace,Everton
09-05-2026,Sunderland,Manchester Utd
09-05-2026,Fulham,Bournemouth
09-05-2026,Manchester City,Brentford
10-05-2026,Nottingham Forest,Newcastle United
10-05-2026,West Ham United,Arsenal
11-05-2026,Tottenham Hotspur,Leeds United
17-05-2026,Wolves,Fulham
17-05-2026,Bournemouth,Manchester City
17-05-2026,Arsenal,Burnley
17-05-2026,Newcastle United,West Ham United
17-05-2026,Leeds United,Brighton
17-05-2026,Aston Villa,Liverpool
17-05-2026,Everton,Sunderland
17-05-2026,Manchester Utd,Nottingham Forest
17-05-2026,Brentford,Crystal Palace
17-05-2026,Chelsea,Tottenham Hotspur
24-05-2026,Tottenham Hotspur,Everton
24-05-2026,Brighton,Manchester Utd
24-05-2026,Fulham,Newcastle United
24-05-2026,Crystal Palace,Arsenal
24-05-2026,Liverpool,Brentford
24-05-2026,Nottingham Forest,Bournemouth
24-05-2026,Burnley,Wolves
24-05-2026,Sunderland,Chelsea
24-05-2026,Manchester City,Aston Villa
24-05-2026,West Ham United,Leeds United
